避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
高雄市立三民高級中學,高雄市三民區,金鼎路81號,120.32672,22.663103,True,886,仁武,高雄市,150.0,對所有族群不健康,2.95,High Risk
空軍綠島探空分隊,臺東縣綠島鄉,火燒山41號,121.4718,22.6644,True,300,臺東,臺東縣,44.0,良好,34.48,Normal
屏東大學民生校區體育館,屏東縣屏東市,民生路4-18號,120.5044684,22.66539013,True,178,屏東,屏東縣,90.0,普通,1.89,Normal
屏東市建國國小,屏東縣屏東市,建興路36號,120.4866,22.6654,True,593,屏東,屏東縣,90.0,普通,0.87,Normal
屏東市鶴聲國小,屏東縣屏東市,建國路121號,120.4797,22.6656,True,1459,屏東,屏東縣,90.0,普通,1.19,Normal
高雄市立三民高級家事商業職業學校,高雄市左營區,高雄市左營區裕誠路1102號,120.300608,22.666009,True,1018,左營,高雄市,150.0,對所有族群不健康,1.26,High Risk
高雄市立鳥松國民中學,高雄市鳥松區,松埔北巷5之1號,120.371072,22.666471,True,844,鳳山,高雄市,150.0,對所有族群不健康,4.49,High Risk
"鼎中,鼎力,鼎膝,鼎金,鼎強,鼎盛聯合里",高雄市三民區,鼎力路125-1號地下1樓,120.3217,22.6667,True,400,仁武,高雄市,150.0,對所有族群不健康,2.73,High Risk
屏東市大同國小,屏東縣屏東市,建國路二0二號,120.476,22.6668,True,846,屏東,屏東縣,90.0,普通,1.42,Normal
崇文國小,屏東縣內埔鄉,原勝路6號,120.6002,22.6669,True,120,屏東,屏東縣,90.0,普通,11.53,Normal
新生國小,屏東縣內埔鄉,大新路109號,120.5909,22.6673,True,120,屏東,屏東縣,90.0,普通,10.57,Normal
高雄市大樹區水寮國民小學,高雄市大樹區,中華路國小巷1號,120.407847,22.667994,True,1079,鳳山,高雄市,150.0,對所有族群不健康,6.81,High Risk
三民街友服務中心,高雄市三民區,天祥二路31號,120.3157,22.6684,True,80,左營,高雄市,150.0,對所有族群不健康,2.45,High Risk
南寮社區活動中心,臺東縣綠島鄉,南寮190號,121.4687,22.6686,True,50,臺東,臺東縣,44.0,良好,34.04,Normal
財團法人玄光聖堂短期收容,高雄市鳥松區,松埔北巷29號之10,120.389996,22.668784,True,100,鳳山,高雄市,150.0,對所有族群不健康,5.62,High Risk
高雄市鼓山區中山國民小學,高雄市鼓山區,美術東二路252號,120.2848,22.6691,True,1364,左營,高雄市,150.0,對所有族群不健康,1.05,High Risk
高雄市左營區新莊國民小學,高雄市左營區,自由三路1號,120.309875,22.669267,True,1582,左營,高雄市,150.0,對所有族群不健康,1.85,High Risk
